Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
7.0762795974,-0.2170957686,-3.4001023879,-1.8459665183,-2.1637390501,0.9594100436,2.4353070228,-2.4577171559,-1.6100550622,10.751198555,-1.688851843,-3.3171518502,-2.0556616605,-0.6530658522,-3.6095162699,2.4842664826,2.5208887034,-4.5737197562,1.9161663785
5.6082502631,-1.1079988436,-2.7266342371,-1.3854326315,-1.7551046589,1.3223155633,4.3726108442,-3.5616285126,-2.1180912746,10.0847894797,-3.6236081879,-3.9086395198,-2.356508299,-0.94303324,-2.8199253606,-2.0657263521,2.4544760516,-4.2239287828,0.8544742256
2.4255450151,-2.8324516434,-2.4991915553,-2.4345413436,-3.1087948171,0.6590549967,5.5219582168,-3.7094122107,-4.32850288,1.531223761,-6.6380268944,-5.2740803359,-3.8963742543,-2.5192172912,-3.6737346414,-7.1503785512,-0.5200758801,-5.1188274006,-1.6630598074
1.6409632241,-1.8563176452,0.2430076853,-1.6433968656,-2.5429704246,2.0011870813,6.2757750758,0.8295646872,-3.7313799866,-5.0715853196,-5.4049499249,-4.2910412436,-2.8057664409,-1.6424089306,-2.8434830258,-7.7804487116,-1.8785688464,-3.9653333376,-1.2473618086
2.4452786777,1.1993266556,3.8946303408,0.2433001874,-0.7625704583,3.9921437321,5.103868729,6.853339825,-0.8137451704,-5.4897035018,-1.5889444945,-1.8403018902,-0.4525529786,0.0277730379,-1.7826652823,-3.7867993038,-1.9692094308,-1.423992473,0.0713906289
1.5860186717,2.8319962492,4.4521610743,-0.5952696288,-1.1261541282,2.5896502687,1.8693420755,8.4728248025,0.4011603889,-4.3125455575,0.0372993088,-1.1756938398,-1.0063664391,-0.6115654077,-1.3888100375,-0.9160464345,-3.3638716347,-0.3108672298,-1.1151548394
0.2276996401,3.5369091205,3.348723855,-2.7305603032,-2.0467663778,-0.222961372,0.0443712331,7.6170174191,0.9166739574,-2.2058471256,0.9941786858,-1.1828968688,-2.4833346566,-1.7566828107,1.577521731,-0.468166807,-3.3669362223,0.0755477074,-1.7648085523
0.246145887,4.0138277477,2.2097120705,-3.9950175173,-2.4405655651,-1.1505311379,0.4864172177,7.1934453514,1.6983571651,1.2485289371,2.3576748243,-0.7588078576,-2.3380123901,-2.5715313872,4.2827254889,0.1834793775,-1.4542914739,0.4732925624,-0.8367106779
0.3112201055,2.5853023924,-0.2581566799,-5.653300927,-4.7215220509,-0.483380761,0.4850156208,4.4430805526,0.6996680077,2.0137285963,1.680826653,-1.1998542699,-2.8245050499,-4.5184899206,3.7415688091,1.2447100625,-0.8529315231,-1.0049681549,-2.0324076797
0.428974864,0.6333530562,-2.0066950723,-5.9346569759,-6.443102244,1.3615089155,0.7158020315,1.2917407394,-0.7504991055,-1.2371401295,0.547289985,-1.2788202171,-3.3877025842,-5.6546718661,3.1987296485,2.2949890108,-0.7708482265,-2.3109311622,-3.5208705216
1.0775164732,0.511572654,-0.7050181282,-2.8397480356,-4.1104156577,3.1160446613,2.6348208477,2.259633348,-0.6376727271,-5.23353881,0.8606844903,-0.2320164125,-2.2583228679,-4.3259226179,1.3886361673,2.5511592345,0.0207522721,-0.6614310335,-1.9328242036
1.1429493088,0.8522759355,1.2356626689,0.2531864585,-0.9666482575,2.6612494745,3.3908408104,4.3829497408,-0.5332898463,-6.1107592194,0.062257352,-0.1863149391,-1.5383084756,-3.2020696174,-3.1092305862,1.1201287267,-0.1834773364,0.8004699922,-0.1586262487
0.9414106893,0.5796170806,2.2594481075,1.2508596041,0.7004823784,1.650762286,2.6510519493,4.7574385182,-0.7522519099,-2.254497906,-2.0291358764,-1.0765807478,-1.6389994242,-3.0906561848,-5.7459243604,-0.2840900281,-0.6087128525,0.797464192,0.3569131967
1.2289446403,0.7512119006,2.8005462686,1.6678612155,2.590164055,2.4724243222,3.1802159488,5.0277964,0.0946235898,3.3227777816,-3.1745259022,-1.4758192032,-0.9010360806,-2.0497276004,-5.6374794172,-0.3412915519,1.0112313627,1.2151368462,1.3606190965
0.9192650091,0.6564341171,1.4573166738,0.4245727873,2.9028143575,3.3946096728,3.8331959371,4.0426289481,0.5783382232,5.1603630407,-4.0718783081,-2.6632175677,-0.9459698999,-1.4277462484,-7.0204732293,-1.8952956947,2.713075879,0.3699406902,0.8096947423
0.002210724,0.0137278807,-1.2499345179,-3.1281063813,0.0463771947,3.2594955289,3.0106267081,1.0764469088,-0.5491984917,2.15942653,-5.3618093025,-4.8607162337,-2.9389982412,-2.4202165283,-11.3859214007,-4.9430094924,2.2132835403,-2.4531130607,-2.697377209
1.0295555497,1.0767024476,-2.1724130296,-4.6948138033,-2.0756853385,4.1343108929,2.0750393969,0.6437058014,-1.0989286611,-0.6913905133,-5.6550027177,-5.3515756226,-3.8313651024,-2.5548808165,-14.0322653438,-3.0061532959,2.2719388091,-3.6337363289,-5.1226892918
2.8870565574,2.2995229249,-2.1284692335,-3.6358290538,-2.3682603526,4.8629643866,1.1794238811,2.5639643333,-1.1233692107,-0.5218542298,-5.6051605058,-4.8856326432,-3.5971562737,-2.4638659313,-12.1790158154,2.9566524479,2.9268229306,-3.0925949424,-5.4989251115
0.7912529146,0.0071756428,-4.1389427882,-4.5763836424,-4.1973990994,2.1958618814,-1.2822007975,1.4582021236,-3.5432625839,-0.3198993767,-7.3016801181,-6.2802231453,-5.9026158199,-4.9937158585,-9.025096793,4.3019643978,-0.3638965731,-4.8058333756,-7.1276274822
-3.4536404922,-3.2871455365,-6.4222052225,-6.3807153298,-6.2497901993,-0.8640698139,-3.1691136111,-0.7978917772,-6.1919323436,-1.95987653,-8.793119329,-7.2250597297,-8.1788438045,-7.3913288864,-4.7349727904,1.2461699562,-4.9737974931,-6.9689386614,-8.2368719828
-5.139239246,-3.9297970067,-5.5863976834,-5.2535105925,-5.1236463848,-0.7298016995,-0.8374306729,0.110494463,-5.3233783261,-4.0152441508,-6.6497289742,-5.1455497413,-5.9905886158,-6.1019672926,0.6027915019,-0.4937794057,-5.507770607,-5.5989844676,-5.8167107238
-6.0343398955,-3.786135714,-2.9778254091,-3.2027624672,-2.9587256903,-0.3652196273,2.2929047654,1.2815105719,-3.76496145,-5.6571132589,-2.8846993428,-2.4331396679,-2.65299177,-3.4183927832,1.5066758797,-1.0168868867,-4.0555287144,-3.2214441459,-2.8248967861
-6.68994948,-3.9874784955,-0.6861176184,-2.0688498099,-2.1843816735,-1.1533775514,2.7071244873,0.7444437741,-3.5448944427,-5.5382189081,-0.5914418646,-0.5439354289,-0.9443245299,-1.8798702919,-2.3904955278,-2.7301655183,-2.5254183459,-1.8491163628,-1.4753122406
-4.5088655133,-2.6218419483,1.953263428,-0.8060971448,-1.7853259654,-0.3655062151,2.7427084014,1.2606361126,-2.0809386941,-2.4207843737,0.3144809342,1.1890165096,0.8108123507,-1.0129911997,-3.8359632068,-5.0251704926,-0.2911877543,-0.0268637444,0.1101131271
-1.9442238598,-1.0731160695,3.3541458139,-0.7255346731,-2.3577623015,1.0464519964,2.1039681825,2.0471373905,-0.7777200057,0.8760340964,-1.0561979475,1.1074736971,0.9320228407,-1.3409235889,-0.0887936317,-6.3293985442,0.2775849658,0.5759611239,0.8520915981
-0.8327175449,-1.1544364396,1.7676001446,-2.8093745972,-3.9877271161,0.9012745987,0.3868913833,1.3974659802,-1.8153845616,3.3496115391,-3.5945453254,-1.2254496015,-1.6366991935,-3.4076318906,4.2818718931,-5.5585301781,-1.7110015496,-1.4324130817,-1.4366604321
1.5727983821,-0.5879818054,0.4427485061,-3.9485844015,-3.6415852037,1.4398658281,1.0700068705,2.2760627542,-2.0632692274,8.0640081314,-3.0538913255,-2.3747452125,-2.9628989142,-4.5086978185,6.370511089,-1.8272443564,-2.8438138646,-2.8933749707,-3.3088118453
3.9349508508,0.7539420223,1.0668025122,-2.5808472845,-1.1524212965,2.5301204168,2.9548477314,4.7851316296,-0.6847638932,11.2075193651,-0.0970689959,-1.550353369,-1.7726262794,-3.2395494846,5.6415020009,2.6311990574,-1.5106294064,-2.3672472942,-2.6528343818
1.6135447593,0.5761544864,0.9573732062,-1.317127697,0.5697443713,0.5707871956,1.5280144013,4.7730726675,-1.0060759799,6.1071881985,1.0886660872,-1.8894820552,-1.1474403781,-2.5856261032,0.7566084692,3.4328299576,-0.4315986755,-2.3833941901,-2.7164264438
-3.6660530005,-0.1418570622,0.2235841562,-0.7445526942,1.6566628258,-2.3628575019,-1.2517160129,2.7757789291,-2.6545982095,-1.4244439873,-0.2232361479,-3.4544375621,-1.6193006895,-2.7446482704,-5.7012483031,0.4618884065,-0.8777678869,-2.8568804245,-2.9503469866
-6.2397665736,-0.3198935828,0.3923554625,0.1325073361,2.7875930969,-2.7146370666,-1.7492325394,1.311984578,-3.1088123001,-2.770149687,-2.6828310601,-4.0120096708,-1.7001803686,-1.7388303508,-9.0054179293,-2.5516005864,-1.2320518409,-2.2927879672,-1.4092466422
-5.9510271572,-1.7183336772,-0.8680421638,-1.0601013117,0.7883983859,-2.2147976281,-2.1179543136,-1.0463123692,-4.187069809,-2.0717041755,-6.6154181041,-5.0632683694,-2.9205209478,-2.212325747,-9.2111779621,-4.6171338047,-1.9856439596,-3.5575731362,-2.0158915126
-4.6101972095,-3.9859802625,-3.7151164002,-4.1476354687,-3.791812356,-1.5897694241,-3.2383384449,-3.6535246657,-6.6224434061,-4.0035569331,-10.2869765812,-7.1221535714,-5.0340967897,-4.23770482,-8.034133589,-6.0180257655,-2.7966036849,-6.808572269,-5.2219861802
-1.5140635753,-3.9202421588,-3.9620307064,-4.4042869921,-5.1127697442,0.6083565952,-3.0031434719,-2.7722429382,-6.1484380703,-6.1795345831,-8.0411857655,-6.5333015471,-4.024594928,-3.3337464226,-6.0175472479,-5.2558479179,-0.3377898614,-6.9122345094,-5.3691618923
0.5727716944,-2.0246781104,-2.371900481,-2.2794822239,-3.0910269963,2.65403868,-3.0284865199,0.1509975638,-3.0920395024,-9.0206911868,-1.1826915333,-3.5183449447,-0.7909779954,-0.535198535,-4.2398065026,-3.9116458146,3.6250802844,-4.4061122764,-2.7808874277
-0.7433036008,-0.9707393649,-2.5345459061,-1.5366563983,-1.5959706565,2.5108786387,-4.3580841732,0.5846080394,-1.4512000572,-11.4227937312,3.0584814068,-1.0781642082,1.078847856,0.6946000222,-2.2980789318,-2.9794423683,4.1706857311,-2.9844231741,-1.2162502016
-1.6763174856,0.1272268572,-2.5891907126,-1.2739743775,-0.7500787368,1.3255452341,-3.9560556963,-0.4383106729,0.0371396912,-8.5476062391,4.8204743239,1.1974449794,2.382780182,0.9664635284,0.5304322154,0.7977337908,2.405413559,-1.2146840978,0.4548721579
